
---------- Begin Simulation Statistics ----------
simSeconds                                   1.139420                       # Number of seconds simulated (Second)
simTicks                                 1139419500467                       # Number of ticks simulated (Tick)
finalTick                                1139419500467                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    531.37                       # Real time elapsed on the host (Second)
hostTickRate                               2144288427                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8630588                       # Number of bytes of host memory used (Byte)
simInsts                                     74476285                       # Number of instructions simulated (Count)
simOps                                      126086956                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   140157                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     237283                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                         13333                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         85458600                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.147461                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.871490                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       258790018                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2644                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      215345631                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2342166                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            132705695                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         215727987                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 184                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            85425202                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.520868                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.658312                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  34900455     40.85%     40.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6932175      8.11%     48.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6574513      7.70%     56.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6159170      7.21%     63.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6302352      7.38%     71.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6437546      7.54%     78.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9951547     11.65%     90.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5659052      6.62%     97.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2508392      2.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              85425202                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 7507282     98.29%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.29% # attempts to use FU when none available (Count)
